"teamid","yearid","w","salary_diff"
"MIA",2013,62,-84476100
"PHI",2015,63,-69251967
"PHI",2016,71,-52713000
"TEX",2004,89,-48441250
"FLO",2006,78,-45737334
"NYN",2013,74,-43905637
"HOU",2013,51,-42760300
"CHA",2014,73,-38234777
"CHN",2012,61,-36850296
"ARI",2015,79,-36027500
"KCA",2011,71,-35693210
"CHN",2014,73,-35045226
"NYA",2014,84,-34434979
"MIL",2016,73,-32074763
"OAK",2008,75,-31399814
"TBA",2011,91,-30869900
"CHA",2012,85,-30869500
"SDN",2009,75,-30343916
"CLE",2003,68,-30324615
"LAA",2013,78,-30310416
"WAS",2007,73,-26195500
"BAL",2008,68,-25978562
"ATL",2015,67,-25827750
"TOR",2003,86,-25595333
"NYN",2012,74,-25493326
"CHA",2009,79,-25120832
"CIN",2016,68,-24132227
"DET",2009,86,-22600051
"TBA",2002,55,-22600000
"PIT",2004,72,-22584500
"BAL",2004,78,-22254167
"ARI",2003,84,-22162999
"HOU",2011,56,-21661500
"BOS",2013,97,-21656617
"CHN",2011,71,-21561671
"MIL",2013,74,-20706911
"CLE",2010,69,-20375200
"NYN",2004,71,-20215459
"SEA",2009,85,-18762316
"MIN",2013,66,-18747500
"MIN",2012,66,-18652000
"TOR",2010,85,-18304300
"LAN",2009,95,-18173944
"SLN",2013,97,-18040752
"COL",2005,67,-17606167
"TOR",2009,75,-17255600
"DET",2011,95,-17164697
"SDN",2016,68,-17016486
"TOR",2014,83,-16368000
"ATL",2004,96,-16061167
"SDN",2001,79,-15638167
"NYN",2011,77,-15575633
"PIT",2002,72,-15437234
"NYN",2010,79,-14951045
"TBA",2003,63,-14750000
"COL",2002,73,-14690291
"MIN",2008,88,-14506734
"CLE",2004,80,-14265534
"LAN",2002,92,-14255000
"CLE",2002,74,-14242552
"WAS",2016,95,-13934826
"BAL",2001,63,-13847895
"PIT",2010,57,-13750000
"NYA",2006,97,-13643738
"SFN",2008,72,-13624556
"CLE",2016,94,-13351866
"MIL",2004,67,-13098500
"TEX",2010,90,-12928254
"CIN",2004,76,-12740417
"LAN",2004,93,-12670619
"BOS",2014,71,-12510071
"CLE",2011,80,-12427400
"ARI",2010,65,-12397500
"SEA",2010,61,-12394166
"ATL",2010,91,-12302500
"BOS",2009,95,-12044036
"SDN",2007,89,-11785574
"TBA",2013,92,-11218228
"OAK",2012,94,-11164000
"SLN",2009,91,-11096040
"MON",2004,67,-11051000
"ARI",2004,51,-10876250
"TBA",2007,66,-10794467
"KCA",2005,56,-10728000
"HOU",2010,76,-10640914
"COL",2012,64,-10078500
"HOU",2012,55,-10043000
"LAN",2005,71,-9863001
"MIL",2003,68,-9660833
"BOS",2008,95,-9636179
"LAN",2012,86,-9045424
"KCA",2008,75,-8871000
"LAA",2010,80,-8745134
"FLO",2008,84,-8695500
"CHA",2002,81,-8600834
"BOS",2003,95,-8419560
"PIT",2007,68,-8179917
"TBA",2015,80,-8167867
"TEX",2013,91,-7988374
"SEA",2013,71,-7973057
"BAL",2012,93,-7950039
"ARI",2007,90,-7616680
"ARI",2005,77,-7451584
"TBA",2016,68,-7423923
"FLO",2004,83,-7306958
"PHI",2006,85,-7248667
"BAL",2002,67,-7106053
"ARI",2011,94,-7078333
"KCA",2003,83,-6739000
"OAK",2010,81,-6655100
"COL",2006,76,-6606000
"NYA",2009,103,-6447600
"LAN",2014,94,-6347596
"CHA",2003,86,-6042833
"DET",2003,43,-5880000
"TBA",2001,62,-5785129
"NYA",2012,95,-5752739
"PHI",2001,86,-5644167
"ATL",2009,86,-5639517
"SDN",2010,90,-5534400
"LAA",2009,97,-5507333
"KCA",2014,89,-5497650
"SEA",2004,63,-5443333
